year,week,downloaded_bytes,sha256,url
2017,1,121375,ca82e74733a08d6e39a624bbae4da0c18ea9b83620d87ba4d3835f4554ec9241,https://candledata.fxcorporate.com/m1/EURUSD/2017/1.csv.gz
2017,2,154425,156c7c4683e9a9469cad460b720a05d7290d236059a2985a841a3f1ca1063193,https://candledata.fxcorporate.com/m1/EURUSD/2017/2.csv.gz
2017,3,152522,3b51cfc1eb48e7d23c86eb3476ff039b620c200319d7ab6d7e21ad7f588b120c,https://candledata.fxcorporate.com/m1/EURUSD/2017/3.csv.gz
2017,4,151277,fac722d802b94d60552dcc29fe0c1211ea9965cbd1a861df453867bd50542fc7,https://candledata.fxcorporate.com/m1/EURUSD/2017/4.csv.gz
2017,5,150854,35ba59b61140b00edfced3cb7d6319c8486a784920ae142c53582ac538988e50,https://candledata.fxcorporate.com/m1/EURUSD/2017/5.csv.gz
2017,6,147553,cd38b4e32b9f1a314f9dd01c9c30cdcd7aee353705777312345508c81fef0c5d,https://candledata.fxcorporate.com/m1/EURUSD/2017/6.csv.gz
2017,7,147025,109d04153389bcc7241404fec860b2c43e4ee19d4f703e6ee67e0c2130a91aac,https://candledata.fxcorporate.com/m1/EURUSD/2017/7.csv.gz
2017,8,146621,1a2abd84a1d416061bf1dd967dbad4d37fedaff9fbba13ef1e67cd288070fda7,https://candledata.fxcorporate.com/m1/EURUSD/2017/8.csv.gz
2017,9,147173,5632c4f023ef2364e6f7eead168c3ea1b3e17bdfa071524f6ffd4594a01bea88,https://candledata.fxcorporate.com/m1/EURUSD/2017/9.csv.gz
2017,10,145300,2173196cb76c8259459b8c3564e2d3d72522ae52c38fc61847ccd4823c9a66c8,https://candledata.fxcorporate.com/m1/EURUSD/2017/10.csv.gz
2017,11,145439,149e058b438907d646661bf984f055edaa5f15ab7a87479777be681f59c73df2,https://candledata.fxcorporate.com/m1/EURUSD/2017/11.csv.gz
2017,12,144697,3f4d4dedd1a090122929a1ae636b623d9a8b2f05f1a2428ed29028d85fe035c2,https://candledata.fxcorporate.com/m1/EURUSD/2017/12.csv.gz
2017,13,144599,c19b0271125df3f07171407ac1a0e937bae10ab52228f077768826cc09c150a7,https://candledata.fxcorporate.com/m1/EURUSD/2017/13.csv.gz
2017,14,142218,5be07cd42a039c0192529899e4e8b103566cfb1500f1ffb614d94cd2113d479a,https://candledata.fxcorporate.com/m1/EURUSD/2017/14.csv.gz
2017,15,139841,616004289c65c7a934986daa4da00dbec20d2126a2006c741df365703b076b99,https://candledata.fxcorporate.com/m1/EURUSD/2017/15.csv.gz
2017,16,141333,4923847f55899c5094f6d88b5f5a34bfa0bf1139f119428db201fbc69a4ceebd,https://candledata.fxcorporate.com/m1/EURUSD/2017/16.csv.gz
2017,17,147840,97fd3f094e2936760711ffa429a284907b2ff6d8655476a99de8b47223b8ae3a,https://candledata.fxcorporate.com/m1/EURUSD/2017/17.csv.gz
2017,18,140969,800ed18cb62d3e6edc74d2e2337f4f74e76777c7a199e9597f57529dd2964ff4,https://candledata.fxcorporate.com/m1/EURUSD/2017/18.csv.gz
2017,19,144473,3564a312f03ba9e294a9cb7f80d55a4c6bee0101a4fc7f8b47f38bc0f2619c59,https://candledata.fxcorporate.com/m1/EURUSD/2017/19.csv.gz
2017,20,145967,e259ae37f46f97facb4e937c930a0bb6730153d12a2f34840b1460e722db3f10,https://candledata.fxcorporate.com/m1/EURUSD/2017/20.csv.gz
2017,21,147372,a7fdb660d8158aab0ab9698ddd1f87675856950860e2b3ad5ab14dde38de9e6c,https://candledata.fxcorporate.com/m1/EURUSD/2017/21.csv.gz
2017,22,142650,bbaaea50cf94669722559f6d2af7043db5d18a856e21567f8017e28341584bbd,https://candledata.fxcorporate.com/m1/EURUSD/2017/22.csv.gz
2017,23,144730,0f0728495d481f19664eeeee5fc25c8a59959e4f3719814e3806628dad65aa06,https://candledata.fxcorporate.com/m1/EURUSD/2017/23.csv.gz
2017,24,142450,167cda795c3028ddbb4eb78fb9af586e0f5bd1191a690be93ec71f86bf4dad66,https://candledata.fxcorporate.com/m1/EURUSD/2017/24.csv.gz
2017,25,138355,6c3e517eb4c9865a04cbc26383eb3f05636d92bbfbc15105dbc21940efe5aa5c,https://candledata.fxcorporate.com/m1/EURUSD/2017/25.csv.gz
2017,26,145981,d3226bf47c9f2f640b6cd3adecee5052361793c537bb88ee961bc4c84f9142d6,https://candledata.fxcorporate.com/m1/EURUSD/2017/26.csv.gz
2017,27,142438,a0552599c86246ba56563d39d1b03455904d0671aa3489757c76c7a9554ffedf,https://candledata.fxcorporate.com/m1/EURUSD/2017/27.csv.gz
2017,28,142103,2e7b15617b124ede8ff6c98b02957edb3f1cfb6a29cdc0c186be64e38a2871ed,https://candledata.fxcorporate.com/m1/EURUSD/2017/28.csv.gz
2017,29,144906,44526c83e1760f323cc177fc7b83b28efbed31459f68e2b4375c3d6c4b59fa4a,https://candledata.fxcorporate.com/m1/EURUSD/2017/29.csv.gz
2017,30,147836,30a3ec6fa3ddf506ddfc3829fee83c1cc9443a1df34126313b56c56a0de0b9fc,https://candledata.fxcorporate.com/m1/EURUSD/2017/30.csv.gz
2017,31,148347,19bcd4e127618c7d23f3ff044b7b6d13c734ee4028a7f831022285bdfccef268,https://candledata.fxcorporate.com/m1/EURUSD/2017/31.csv.gz
2017,32,147924,90119d4e09923be5c21a8350e4f27a0fcf347871eb361246921bb94577df62d1,https://candledata.fxcorporate.com/m1/EURUSD/2017/32.csv.gz
2017,33,148325,cb6621eab4f8671e5f80afd64c588716c722763a28718a59cf93d9f58aae4ec0,https://candledata.fxcorporate.com/m1/EURUSD/2017/33.csv.gz
2017,34,144317,a23a65657e6677f537650f346f5a792771059c3774889f059fd756fe8c71fdbd,https://candledata.fxcorporate.com/m1/EURUSD/2017/34.csv.gz
2017,35,148880,90a44dbb3fb1f1ae433ad1385dabe0b622e25425605b90703e190abafbfd237c,https://candledata.fxcorporate.com/m1/EURUSD/2017/35.csv.gz
2017,36,147667,b212adc2824e8b375dd053a99d2ac8a5164e17fae8311fe9fdaeb63c03829029,https://candledata.fxcorporate.com/m1/EURUSD/2017/36.csv.gz
2017,37,146759,36fb8a79186ba0fb4b92df08dfc7a1fb13347d2554afd80da13fa1744185a89a,https://candledata.fxcorporate.com/m1/EURUSD/2017/37.csv.gz
2017,38,146870,70e577381a987b2f8439d0fa1323712db609f6117fa429779aef50015699c480,https://candledata.fxcorporate.com/m1/EURUSD/2017/38.csv.gz
2017,39,146346,5812d37fc905da347820922c74eb4ce762feedd1c9582f496a02b9b7989fb19f,https://candledata.fxcorporate.com/m1/EURUSD/2017/39.csv.gz
2017,40,143907,0a211536c8b6ad71665f1a5e34a227d821110af81648d7a7ca70c1c59126956a,https://candledata.fxcorporate.com/m1/EURUSD/2017/40.csv.gz
2017,41,141735,91d5fd0a920d9459c3bcd2d1187b278bdc2bae6af4562da5201ed445dac5c69e,https://candledata.fxcorporate.com/m1/EURUSD/2017/41.csv.gz
2017,42,142935,343033fdbcae1e8b999cd65b60cf7a1502a0406402c09a43e36a7e22009a6b37,https://candledata.fxcorporate.com/m1/EURUSD/2017/42.csv.gz
2017,43,143016,8b40a7811d065245754a25db0bd5a6dcad393b0e0984f51eed5cef860d1c918d,https://candledata.fxcorporate.com/m1/EURUSD/2017/43.csv.gz
2017,44,142528,5efef82fef73ef35074920c17f11d04bbc71ca6e5e3e5496dfd55d10872ca75c,https://candledata.fxcorporate.com/m1/EURUSD/2017/44.csv.gz
2017,45,140870,0c7dabfc646706e54f29e10646d90d4e4a59ebe24b0257aba53e95a5d9ca5c32,https://candledata.fxcorporate.com/m1/EURUSD/2017/45.csv.gz
2017,46,142241,b2cc79d24e291a52c27b5b39cd5356c6799bfd3be590af92b5b1a6cc788dd4e3,https://candledata.fxcorporate.com/m1/EURUSD/2017/46.csv.gz
2017,47,142216,2c5fcd5dfd0a9e7455bfd49384e5f17a7b133e9190a661d1ab87bcdb790e578e,https://candledata.fxcorporate.com/m1/EURUSD/2017/47.csv.gz
