year,week,downloaded_bytes,sha256,url
2019,2,147502,f23eb7edb801ef347a17e351d34861d3e1dcc3f0c361fecd7ae8395a361c893e,https://candledata.fxcorporate.com/m1/EURUSD/2019/2.csv.gz
2019,3,144296,07786ff41e0da127354cdc6ac3c5b46d2323ea0e3d55caf989a73a1e983ddc7d,https://candledata.fxcorporate.com/m1/EURUSD/2019/3.csv.gz
2019,4,141541,2cfd113b587eab76054197d7c92d62ec45982a7043848e7bd124a2dc7533c99d,https://candledata.fxcorporate.com/m1/EURUSD/2019/4.csv.gz
2019,5,142742,407d049b57844cc084e1e4b1bc0e7d56ed0591bd01935981d1146972a40cd45e,https://candledata.fxcorporate.com/m1/EURUSD/2019/5.csv.gz
2019,6,138188,9b4566dc5acb8543c5a174f613dc633afc287ec62468c4d36873d313492a6549,https://candledata.fxcorporate.com/m1/EURUSD/2019/6.csv.gz
2019,7,140930,1f1714a66b72586f2c0a352af1cd50bdfa4d73d6a25f49775165cb23143c59b1,https://candledata.fxcorporate.com/m1/EURUSD/2019/7.csv.gz
2019,8,140743,7eca6e73c8a82c4aea3b3bab356ffbe773f965878761b556206a70b443a962c4,https://candledata.fxcorporate.com/m1/EURUSD/2019/8.csv.gz
2019,9,140427,a48078e0282cba504dcb8b6b33ad719a61230278f2a8aa80f7731bf82539b4bd,https://candledata.fxcorporate.com/m1/EURUSD/2019/9.csv.gz
2019,10,139223,f776364ba1c130a80606b5f14b13bcec007716d22eb948e98339a776a6669fd2,https://candledata.fxcorporate.com/m1/EURUSD/2019/10.csv.gz
2019,11,138756,3ad14968cc3cccb62c53fc1eec844185a825bec7d7920cbe4768480bc2258a88,https://candledata.fxcorporate.com/m1/EURUSD/2019/11.csv.gz
2019,12,139716,50242293489fea4265be6a649e182a2d0adacb2e29a4ee44a5452d8abb7fc6c1,https://candledata.fxcorporate.com/m1/EURUSD/2019/12.csv.gz
2019,13,142222,2b7cfc9c0e1413db094362019a8128052dbd06ea254b919a9ec4fa8dcd285f04,https://candledata.fxcorporate.com/m1/EURUSD/2019/13.csv.gz
2019,14,135722,f3695a3decb7701d02d0f567d5888f682d81ece3ca4434d8ed8bdb6c35616633,https://candledata.fxcorporate.com/m1/EURUSD/2019/14.csv.gz
2019,15,136162,01ab075f4e861ca52c01318c69e5d66250be32c56cd6e216c87505b5a2eaaf44,https://candledata.fxcorporate.com/m1/EURUSD/2019/15.csv.gz
2019,16,131479,d83b87b04563af3939e05cbf5c5a68ea551986cb7cb8dff1e124e826093e5f5f,https://candledata.fxcorporate.com/m1/EURUSD/2019/16.csv.gz
2019,17,134666,5863e54c6ed3c3bbdc4499369ce1981e2fb7bf176f070423d40d831bb3614121,https://candledata.fxcorporate.com/m1/EURUSD/2019/17.csv.gz
2019,18,133661,efab23e9fd6651279e16fa1c97526d131cccb22359cd997f134f5bd22f7887e3,https://candledata.fxcorporate.com/m1/EURUSD/2019/18.csv.gz
2019,19,139009,c477a4f49e28b89dd0b30244fe478ce16d53973ca39d4132688229fdcef7db7a,https://candledata.fxcorporate.com/m1/EURUSD/2019/19.csv.gz
2019,20,134317,b27b5d41bfc968d8591d1148d17819e8b30e730236e5bf6704444e224d51bd5f,https://candledata.fxcorporate.com/m1/EURUSD/2019/20.csv.gz
2019,21,135272,5dbc556ef01cd922792ab66bb5cc08eab84ab64464be671603de91c3edbcdff6,https://candledata.fxcorporate.com/m1/EURUSD/2019/21.csv.gz
2019,22,129727,0fb795976ce46ecb1c36fa2291fb22d846db6dba1784cdd7e891cf4c494bf406,https://candledata.fxcorporate.com/m1/EURUSD/2019/22.csv.gz
2019,23,138503,74c43341b0e3f5c47864b6031bbee87b0d53534f4ce1be86aef7db94aefe5d43,https://candledata.fxcorporate.com/m1/EURUSD/2019/23.csv.gz
2019,24,133758,05e1eefede6e85952149a27b2cd5d78331ad05195a59ec689290a7332abf2dab,https://candledata.fxcorporate.com/m1/EURUSD/2019/24.csv.gz
2019,25,137952,06504eafefee309e9e851abf659e4c611f43c71234637b135dbad83efa30319f,https://candledata.fxcorporate.com/m1/EURUSD/2019/25.csv.gz
2019,26,138689,819318ef10493572d21d47e4bc9841f6af90002baab096a891770b070dd2cd54,https://candledata.fxcorporate.com/m1/EURUSD/2019/26.csv.gz
2019,27,134357,a4444e14667d68302dcb4d55594aa87e09155785e0856989e1590b5db64c2c68,https://candledata.fxcorporate.com/m1/EURUSD/2019/27.csv.gz
2019,28,134320,eccfcfc19ac51752f63e13908d5dbf0b8cb2a7198c7f084d134d6c4ce18402ad,https://candledata.fxcorporate.com/m1/EURUSD/2019/28.csv.gz
2019,29,135470,94c990b4f5590b4db6e1938513dc99bb61ea15706828af7afa3854b4e1192327,https://candledata.fxcorporate.com/m1/EURUSD/2019/29.csv.gz
2019,30,133240,778508730b2f32442ad432ca2d1c6bfe02af1630e0ef003cd284dcd496ace07c,https://candledata.fxcorporate.com/m1/EURUSD/2019/30.csv.gz
2019,31,137520,df72d8090c22b42e77acfdc7d57daf86c70bad4470776667c7b2f4e150287273,https://candledata.fxcorporate.com/m1/EURUSD/2019/31.csv.gz
2019,32,143659,cfc3a2423dbcbb2904f6b9350d1d58b8716e67b8cad552609f842181591cb7ef,https://candledata.fxcorporate.com/m1/EURUSD/2019/32.csv.gz
2019,33,138279,c60227bfb3bf8aed2c8937b41bf2d0435425526327c7f8dc194e44859e77d45c,https://candledata.fxcorporate.com/m1/EURUSD/2019/33.csv.gz
2019,34,134952,2aa89e76e99c2ccefc4ef6ea4af46e760862f794dc881d8bc6ed05acae9eebc7,https://candledata.fxcorporate.com/m1/EURUSD/2019/34.csv.gz
2019,35,135865,f339310c2d97c68dafdd28c8b250d1794a038dfd194ec6af66300bc063d7dccd,https://candledata.fxcorporate.com/m1/EURUSD/2019/35.csv.gz
2019,36,136944,04b9d04d2c20ea977419bee0e8ec50c38fc7b383f327cb2fd21e32fff5cacfe9,https://candledata.fxcorporate.com/m1/EURUSD/2019/36.csv.gz
2019,37,137489,81c4d66e3f5ca4e5fd54a563ab55091b3cac02e144a33540173f618d81667baf,https://candledata.fxcorporate.com/m1/EURUSD/2019/37.csv.gz
2019,38,138560,998af94098d920f8390c35eb6afb0be8164238989d9346896fb0ae9a69af9ac0,https://candledata.fxcorporate.com/m1/EURUSD/2019/38.csv.gz
2019,39,136312,a972d57b8f947dfde6452a60607b14b88c507128325770711a41e22cc3ebd57d,https://candledata.fxcorporate.com/m1/EURUSD/2019/39.csv.gz
2019,40,136319,e97e9a8e3bc62f84fe75b6bf8b173f3b9e500ccbbf4f3db2a09a89410a27a5f5,https://candledata.fxcorporate.com/m1/EURUSD/2019/40.csv.gz
2019,41,136437,595394ed0ca6f11c4e63340d6a5c2c3e42e909c5fd21c695fcb7c24373d9eee0,https://candledata.fxcorporate.com/m1/EURUSD/2019/41.csv.gz
2019,42,136875,8fa54db582af66b227b7ac03cfef4e598f49caa68978bb671ff5e9c44a10662d,https://candledata.fxcorporate.com/m1/EURUSD/2019/42.csv.gz
2019,43,132930,3340f426aa1ccb593f7a0037032281e1688cbb11ae0ff2ace5ae6acd2ab939e2,https://candledata.fxcorporate.com/m1/EURUSD/2019/43.csv.gz
2019,44,132928,7a186d2f460b816ca24b5d67f8875dbf42e55e93d4fcca129da54663b665c403,https://candledata.fxcorporate.com/m1/EURUSD/2019/44.csv.gz
2019,45,133186,1ca47629dec6a2b0993dbf84ef05b6d45dec83282b6b908dfbf0023fd11487c8,https://candledata.fxcorporate.com/m1/EURUSD/2019/45.csv.gz
2019,46,131200,db64b555b5d9b458c0ef287a32536d3eee1715c5ff3a49772fa9c6a8004b539f,https://candledata.fxcorporate.com/m1/EURUSD/2019/46.csv.gz
2019,47,129624,4f0594c40ff2cf40fe32b8faf447ac2891494c8eebbe0aee23f510a47fb6d8b0,https://candledata.fxcorporate.com/m1/EURUSD/2019/47.csv.gz
2019,48,126584,7f94bd0c445bc4d7526a182fb98ea4e62eea5f7358d450c85857e839eaaf6b85,https://candledata.fxcorporate.com/m1/EURUSD/2019/48.csv.gz
2019,49,129120,5498b65898e05c45b439ad22212ea66dfa3f29f052272b75645b534ed8dcb0c1,https://candledata.fxcorporate.com/m1/EURUSD/2019/49.csv.gz
2019,50,132389,8e05871cfa9dc190949a433d29f1d81923cb7c1d1b5dcd4a1aa4047ff928c310,https://candledata.fxcorporate.com/m1/EURUSD/2019/50.csv.gz
2019,51,131907,68113aaf13ae285cfc6266820061c8e6ecbd342f1505134677ce66f607f2b41c,https://candledata.fxcorporate.com/m1/EURUSD/2019/51.csv.gz
2019,52,91307,c5faa89b9758a6f5991e63352ea793cb83f1e4d1a19e9d0fd2295db557f84f77,https://candledata.fxcorporate.com/m1/EURUSD/2019/52.csv.gz
2019,53,94914,0694418a120ff86752c28a5c8093a3727292f1950b48d20df3cd4dab50411243,https://candledata.fxcorporate.com/m1/EURUSD/2019/53.csv.gz
